Metabolite	Number_of_IVs	Number_of_Proxies	Weighted_Mode_Estimate	Weighted_Mode_SE	Weighted_Mode_Pval	Weighted_Median_Estimate	Weighted_Median_SE	Weighted_Median_Pval	Random_IVW_Estimate	Random_IVW_SE	Random_IVW_Pval	Random_IVW_RSE	Random_IVW_HetStat	Random_IVW_FStat	Fixed_IVW_Estimate	Fixed_IVW_SE	Fixed_IVW_Pval	Fixed_IVW_RSE	Fixed_IVW_HetStat	Fixed_IVW_FStat	Egger_Estimate	Egger_SE	Egger_Pval	Egger_Intercept	Egger_Intercept_SE	Egger_Intercept_Pval	Egger_RSE	Egger_HetStat	Egger_Isq
M46968	311	0	-0.0691472670676283	0.0346838588280638	0.0461909732169912	-0.0464124945885275	0.0358549546279171	0.19550956177478	-0.0411085611782727	0.017291341513829	0.0174348256598386	0.962467643024579	287.166628799479	119.184345185283	-0.0411085611782727	0.017291341513829	0.0174348256598386	0.962467643024579	287.166628799479	119.184345185283	-0.0529424357128059	0.0320790965844477	0.0988669193949596	6.701803330649e-4	0.0015302040018393	0.661409505790823	0.963701757402046	286.974812860916	0.966879429421338
M47709	311	0	0.0170252667322697	0.0340778506071599	0.617357324778484	0.020766978829825	0.0294493331103808	0.480700378920729	0.0470375417412862	0.0183302321558911	0.0102843785623956	1.08042356052189	361.867671740547	119.184345185283	0.0470375417412862	0.0169657834442604	0.00556284548830765	1.08042356052189	361.867671740547	119.184345185283	0.0577586600205054	0.0340441458380158	0.0897758542579936	-6.0741946448168e-4	0.00162443906504915	0.708459618225786	1.08192565221745	361.704003130184	0.966888145270736
M48493	311	0	-0.0585593597566347	0.0360189649940519	0.103993824397706	-0.0444271735797075	0.0367917320002857	0.227227539834403	-0.0564636264501772	0.0187633396588062	0.00261891376085024	1.12594344339949	393.002077697631	119.184345185283	-0.0564636264501772	0.0166645489778379	7.0340606147924e-4	1.12594344339949	393.002077697631	119.184345185283	-0.0671577806852202	0.0348523024877925	0.0539889498070198	6.0582916762666e-4	0.00166289465281473	0.715617545665443	1.12752174994692	392.833336650441	0.966890058783482
M52433	311	0	0.011524067943014	0.0338331967266236	0.733394022276506	-0.00796867543946414	0.0350245405584799	0.820021817324275	-0.0547227915863834	0.0182814594261892	0.0027593385105837	1.09869601090961	374.211206560494	119.184345185283	-0.0547227915863834	0.0166392334591749	0.0010062235494976	1.09869601090961	374.211206560494	119.184345185283	0.0225821615175209	0.0335595505364533	0.501012050432097	-0.00437948727359116	0.00160123640592358	0.00623677670173306	1.08738880506808	365.366053736704	0.966889411236457
M52437	311	0	-0.0193707515485864	0.0349193046800738	0.579080025763868	-0.053559475868801	0.0369520035927609	0.147216528963147	-0.0758004057844772	0.0197579475477406	1.2482487746398e-4	1.18716960879264	436.905220812669	119.184345185283	-0.0758004057844772	0.0166429020768436	5.25056984008174e-6	1.18716960879264	436.905220812669	119.184345185283	-0.0660763686571122	0.0366998384212493	0.0717889903449491	-5.5090468580565e-4	0.0017511132158616	0.753063441597875	1.18889865268023	436.765321960562	0.9668904648184
M52465	311	0	0.0614256427282234	0.0317067617071413	0.0527081687658866	0.087959501776279	0.0338465991261124	0.00935586346507689	0.0658333753740216	0.0198999070283847	9.3889252403153e-4	1.19933486615174	445.905277561834	119.184345185283	0.0658333753740216	0.0165924526919131	7.25787633274795e-5	1.19933486615174	445.905277561834	119.184345185283	0.0677092641552451	0.0369707121928192	0.0670364162974004	-1.0627244932376e-4	0.00176400084335866	0.951960407302386	1.20126691492533	445.900040076313	0.966890441184865
M52466	311	0	0.0899748126081987	0.0323198009443133	0.00537110315361378	0.107475212753325	0.0349660877874148	0.00211422959541061	0.0990690653094261	0.0203951737863272	1.18891597887963e-6	1.22195667230375	462.885213786173	119.184345185283	0.0990690653094261	0.0166905867029445	2.92728022752451e-9	1.22195667230375	462.885213786173	119.184345185283	0.0676670068313655	0.0378341116897233	0.0736924015579077	0.00177893007131932	0.00180519123422656	0.324401891496612	1.22201360276324	461.435028809567	0.966891443476479
M52467	311	0	0.0611827479031597	0.0397774960666081	0.124018135740945	0.0700441282042109	0.0375225541321604	0.0619406026508784	0.0691180736961289	0.0215622684513665	0.00134823219575781	1.28025722904974	508.108157485577	119.184345185283	0.0691180736961289	0.0168421376283662	4.06282226925245e-5	1.28025722904974	508.108157485577	119.184345185283	0.0280295168646926	0.0399686601959942	0.483123689852173	0.00232752240109776	0.00190697322127845	0.222263154893147	1.27924723067233	505.670304449495	0.966888749257955
M52603	311	0	-0.00224614862176686	0.0351354600967695	0.94902735475105	-0.0268825499968112	0.0366607915736007	0.463388922378734	-0.0579556735310739	0.0261568334534691	0.0267121134719544	1.52869791174962	724.44436467017	119.184345185283	-0.0579556735310739	0.0171105312909941	7.0626713626546e-4	1.52869791174962	724.44436467017	119.184345185283	0.0327841609781393	0.0482154680897788	0.496535418778131	-0.00513945547565403	0.00230018342367396	0.0254588911648765	1.51894815893775	712.925884447974	0.966885155496654
M52701	311	0	-0.0405798551112377	0.0352145566133292	0.249173069900462	-0.0541708946091075	0.0362651673929546	0.135242410674691	-0.0810096521073926	0.0213000605844649	1.4280478056604e-4	1.22765215548807	467.210242611096	119.184345185283	-0.0810096521073926	0.0173502408554781	3.02552443108287e-6	1.22765215548807	467.210242611096	119.184345185283	-0.109020177215087	0.039516762453071	0.00580080407618144	0.00158723269136256	0.00188574239871138	0.399954914209344	1.22822983303998	466.141493535749	0.966902384123978
